quarter,stock,date,open,high,low,close,volume,percent_change_price,percent_change_volume_over_last_wk,previous_weeks_volume,next_weeks_open,next_weeks_close,percent_change_next_weeks_price,days_to_next_dividend,percent_return_next_dividend
'\'(-inf-1.1]\'',AXP,1/28/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.410397
'\'(-inf-1.1]\'',AXP,2/4/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(4.821204-7.351717]\'','\'(33.6-67.2]\'',0.410771
'\'(-inf-1.1]\'',AXP,2/11/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(4.821204-7.351717]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-2.770335--0.239822]\'','\'(33.6-67.2]\'',0.385027
'\'(-inf-1.1]\'',AXP,2/18/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-5.300848--2.770335]\'','\'(33.6-67.2]\'',0.395344
'\'(-inf-1.1]\'',AXP,2/25/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.413508
'\'(-inf-1.1]\'',AXP,3/4/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.411711
'\'(-inf-1.1]\'',AXP,3/11/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.406504
'\'(-inf-1.1]\'',AXP,3/18/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.407516
'\'(-inf-1.1]\'',AXP,3/25/2011,'\'(42.894-59.046]\'','\'(43.46-59.72]\'','\'(41.884-57.626]\'','\'(42.532-58.538]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(42.838-58.997]\'','\'(43.324-59.726]\'','\'(-2.770335--0.239822]\'','\'(-inf-33.6]\'',0.394823
'\'(-inf-1.1]\'',BA,1/7/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(4.821204-7.351717]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.605362
'\'(-inf-1.1]\'',BA,1/14/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.599401
'\'(-inf-1.1]\'',BA,1/21/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(55.219454-94.103664]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-5.300848--2.770335]\'','\'(-inf-33.6]\'',0.585938
'\'(-inf-1.1]\'',BA,1/28/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(2.290691-4.821204]\'','\'(-inf-33.6]\'',0.606673
'\'(-inf-1.1]\'',BA,2/4/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.5884
'\'(-inf-1.1]\'',BA,2/11/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.582201
'\'(-inf-1.1]\'',BA,2/18/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.575027
'\'(-inf-1.1]\'',BA,2/25/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(55.219454-94.103664]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.580913
'\'(-inf-1.1]\'',BA,3/4/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.584958
'\'(-inf-1.1]\'',BA,3/11/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-5.300848--2.770335]\'','\'(33.6-67.2]\'',0.586265
'\'(-inf-1.1]\'',BA,3/18/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(2.290691-4.821204]\'','\'(33.6-67.2]\'',0.607815
'\'(-inf-1.1]\'',BA,3/25/2011,'\'(59.046-75.198]\'','\'(59.72-75.98]\'','\'(57.626-73.368]\'','\'(58.538-74.544]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(58.997-75.156]\'','\'(59.726-76.128]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.572675
'\'(-inf-1.1]\'',BAC,1/7/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(1309066660.2-inf)\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(7.351717-inf)\'','\'(33.6-67.2]\'',0.070175
'\'(-inf-1.1]\'',BAC,1/14/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(731578745-875950723.8]\'','\'(7.351717-inf)\'','\'(-inf--22.548965]\'','\'(1309066660.2-inf)\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-7.831361--5.300848]\'','\'(33.6-67.2]\'',0.065574
'\'(-inf-1.1]\'',BAC,1/21/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(875950723.8-1020322702.6]\'','\'(-7.831361--5.300848]\'','\'(16.335245-55.219454]\'','\'(731578745-875950723.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-5.300848--2.770335]\'','\'(33.6-67.2]\'',0.070175
'\'(-inf-1.1]\'',BAC,1/28/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(1020322702.6-1164694681.4]\'','\'(-5.300848--2.770335]\'','\'(-22.548965-16.335245]\'','\'(875950723.8-1020322702.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(2.290691-4.821204]\'','\'(-inf-33.6]\'',0.073529
'\'(-inf-1.1]\'',BAC,2/4/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(731578745-875950723.8]\'','\'(2.290691-4.821204]\'','\'(-inf--22.548965]\'','\'(1020322702.6-1164694681.4]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.069979
'\'(-inf-1.1]\'',BAC,2/11/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(731578745-875950723.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(731578745-875950723.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.067705
'\'(-inf-1.1]\'',BAC,2/18/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(442834787.4-587206766.2]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(731578745-875950723.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(-inf-33.6]\'',0.067797
'\'(-inf-1.1]\'',BAC,2/25/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(587206766.2-731578745]\'','\'(-2.770335--0.239822]\'','\'(55.219454-94.103664]\'','\'(442834787.4-587206766.2]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(-inf-33.6]\'',0.070422
'\'(-inf-1.1]\'',BAC,3/4/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(587206766.2-731578745]\'','\'(-2.770335--0.239822]\'','\'(-22.548965-16.335245]\'','\'(587206766.2-731578745]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.070821
'\'(-inf-1.1]\'',BAC,3/11/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(731578745-875950723.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(587206766.2-731578745]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.069541
'\'(-inf-1.1]\'',BAC,3/18/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(731578745-875950723.8]\'','\'(-2.770335--0.239822]\'','\'(-22.548965-16.335245]\'','\'(731578745-875950723.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-7.831361--5.300848]\'','\'(67.2-100.8]\'',0.071225
'\'(-inf-1.1]\'',BAC,3/25/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(587206766.2-731578745]\'','\'(-7.831361--5.300848]\'','\'(-22.548965-16.335245]\'','\'(731578745-875950723.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.074963
'\'(-inf-1.1]\'',CAT,1/7/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.469433
'\'(-inf-1.1]\'',CAT,1/14/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-2.770335--0.239822]\'','\'(-inf-33.6]\'',0.468035
'\'(-inf-1.1]\'',CAT,1/21/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(2.290691-4.821204]\'','\'(67.2-100.8]\'',0.474394
'\'(-inf-1.1]\'',CAT,1/28/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(2.290691-4.821204]\'','\'(67.2-100.8]\'',0.459866
'\'(-inf-1.1]\'',CAT,2/4/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(2.290691-4.821204]\'','\'(67.2-100.8]\'',0.441811
'\'(-inf-1.1]\'',CAT,2/11/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.424957
'\'(-inf-1.1]\'',CAT,2/18/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-2.770335--0.239822]\'','\'(33.6-67.2]\'',0.415643
'\'(-inf-1.1]\'',CAT,2/25/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-2.770335--0.239822]\'','\'(55.219454-94.103664]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.431373
'\'(-inf-1.1]\'',CAT,3/4/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(-5.300848--2.770335]\'','\'(33.6-67.2]\'',0.427019
'\'(-inf-1.1]\'',CAT,3/11/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(-5.300848--2.770335]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(92.53-108.932]\'','\'(2.290691-4.821204]\'','\'(33.6-67.2]\'',0.439912
'\'(-inf-1.1]\'',CAT,3/18/2011,'\'(91.35-107.502]\'','\'(92.24-108.5]\'','\'(89.11-104.852]\'','\'(90.55-106.556]\'','\'(-inf-154090829.8]\'','\'(2.290691-4.821204]\'','\'(16.335245-55.219454]\'','\'(-inf-154090829.8]\'','\'(91.315-107.474]\'','\'(108.932-125.334]\'','\'(-0.239822-2.290691]\'','\'(-inf-33.6]\'',0.418808
'\'(-inf-1.1]\'',CAT,3/25/2011,'\'(91.35-107.502]\'','\'(108.5-124.76]\'','\'(104.852-120.594]\'','\'(106.556-122.562]\'','\'(-inf-154090829.8]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(-inf-154090829.8]\'','\'(107.474-123.633]\'','\'(108.932-125.334]\'','\'(2.290691-4.821204]\'','\'(-inf-33.6]\'',0.403337
'\'(-inf-1.1]\'',CSCO,1/7/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(298462808.6-442834787.4]\'','\'(2.290691-4.821204]\'','\'(-22.548965-16.335245]\'','\'(-inf-154090829.8]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(67.2-100.8]\'',0.286123
'\'(-inf-1.1]\'',CSCO,1/14/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(-0.239822-2.290691]\'','\'(-inf--22.548965]\'','\'(298462808.6-442834787.4]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-2.770335--0.239822]\'','\'(67.2-100.8]\'',0.282885
'\'(-inf-1.1]\'',CSCO,1/21/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(-2.770335--0.239822]\'','\'(16.335245-55.219454]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-0.239822-2.290691]\'','\'(33.6-67.2]\'',0.289575
'\'(-inf-1.1]\'',CSCO,1/28/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(-0.239822-2.290691]\'','\'(16.335245-55.219454]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(4.821204-7.351717]\'','\'(33.6-67.2]\'',0.28667
'\'(-inf-1.1]\'',CSCO,2/4/2011,'\'(-inf-26.742]\'','\'(-inf-27.2]\'','\'(-inf-26.142]\'','\'(-inf-26.526]\'','\'(154090829.8-298462808.6]\'','\'(4.821204-7.351717]\'','\'(-22.548965-16.335245]\'','\'(154090829.8-298462808.6]\'','\'(-inf-26.679]\'','\'(-inf-26.922]\'','\'(-inf--12.892387]\'','\'(33.6-67.2]\'',0.272109
