'Reason for absence','Month of absence','Day of the week',Seasons,'Transportation expense','Distance from Residence to Work','Service time',Age,'Work load Average/day ','Hit target','Disciplinary failure',Education,Son,'Social drinker','Social smoker',Pet,Weight,Height,'Body mass index','Absenteeism time in hours'
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',4
'\'(11.2-14]\'','\'(6-7.2]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(15-17.8]\'','\'(39.4-42.5]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(66.4-71.6]\'','\'(169.6-172.9]\'','\'(22.8-24.7]\'',8
'\'(22.4-25.2]\'','\'(6-7.2]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(19.6-22.4]\'','\'(6-7.2]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',8
'\'(8.4-11.2]\'','\'(6-7.2]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(28.5-33.2]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','239,554','\'(96.2-98.1]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(24.7-26.6]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(23.8-28.5]\'','\'(12.2-15]\'','\'(45.6-48.7]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(82-87.2]\'','\'(-inf-166.3]\'','\'(30.4-32.3]\'',2
'\'(8.4-11.2]\'','\'(7.2-8.4]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(307-334]\'','\'(14.4-19.1]\'','\'(3.8-6.6]\'','\'(-inf-30.1]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(1.9-2.2]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(82-87.2]\'','\'(179.5-182.8]\'','\'(24.7-26.6]\'',8
'\'(8.4-11.2]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',1
'\'(11.2-14]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(334-361]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(-inf-30.1]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.2-4]\'','\'(76.8-82]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',40
'\'(25.2-inf)\'','\'(7.2-8.4]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',4
'\'(16.8-19.6]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(334-361]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(-inf-30.1]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.2-4]\'','\'(76.8-82]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',7
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',1
'\'(25.2-inf)\'','\'(7.2-8.4]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(145-172]\'','\'(23.8-28.5]\'','\'(3.8-6.6]\'','\'(-inf-30.1]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(0.9-inf)\'','\'(-inf-0.8]\'','\'(71.6-76.8]\'','\'(182.8-186.1]\'','\'(20.9-22.8]\'',4
'\'(16.8-19.6]\'','\'(7.2-8.4]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(16.8-19.6]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',8
'\'(16.8-19.6]\'','\'(7.2-8.4]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(28.5-33.2]\'','\'(9.4-12.2]\'','\'(45.6-48.7]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(4.8-5.6]\'','\'(87.2-92.4]\'','\'(-inf-166.3]\'','\'(32.3-34.2]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(9.7-14.4]\'','\'(12.2-15]\'','\'(36.3-39.4]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(2.8-3.1]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',4
'\'(16.8-19.6]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(28.5-33.2]\'','\'(9.4-12.2]\'','\'(45.6-48.7]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(4.8-5.6]\'','\'(87.2-92.4]\'','\'(-inf-166.3]\'','\'(32.3-34.2]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',2
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(334-361]\'','\'(47.3-inf)\'','\'(-inf-3.8]\'','\'(-inf-30.1]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(3.2-4]\'','\'(76.8-82]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',1
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(33.2-37.9]\'','\'(12.2-15]\'','\'(30.1-33.2]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(28.5-30.4]\'',8
'\'(8.4-11.2]\'','\'(7.2-8.4]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(30.1-33.2]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',4
'\'(25.2-inf)\'','\'(7.2-8.4]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(28.5-33.2]\'','\'(9.4-12.2]\'','\'(45.6-48.7]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(0.9-inf)\'','\'(4.8-5.6]\'','\'(87.2-92.4]\'','\'(-inf-166.3]\'','\'(32.3-34.2]\'',8
'\'(22.4-25.2]\'','\'(7.2-8.4]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','205,917','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',4
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(37.9-42.6]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(-inf-61.2]\'','\'(166.3-169.6]\'','\'(20.9-22.8]\'',2
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(-inf-145]\'','\'(9.7-14.4]\'','\'(9.4-12.2]\'','\'(36.3-39.4]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(82-87.2]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',4
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',4
'\'(16.8-19.6]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(226-253]\'','\'(19.1-23.8]\'','\'(12.2-15]\'','\'(42.5-45.6]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(102.8-inf)\'','\'(166.3-169.6]\'','\'(36.1-inf)\'',8
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(3.6-4]\'','\'(-inf-1.3]\'','\'(145-172]\'','\'(9.7-14.4]\'','\'(12.2-15]\'','\'(33.2-36.3]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(1.6-2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(92.4-97.6]\'','\'(192.7-inf)\'','\'(24.7-26.6]\'',2
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(-inf-2.4]\'','\'(-inf-1.3]\'','\'(-inf-145]\'','\'(9.7-14.4]\'','\'(9.4-12.2]\'','\'(36.3-39.4]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(82-87.2]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',3
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(-inf-1.3]\'','\'(172-199]\'','\'(47.3-inf)\'','\'(17.8-20.6]\'','\'(36.3-39.4]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(87.2-92.4]\'','\'(169.6-172.9]\'','\'(30.4-32.3]\'',3
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(4.8-5.2]\'','\'(-inf-1.3]\'','\'(280-307]\'','\'(28.5-33.2]\'','\'(9.4-12.2]\'','\'(39.4-42.5]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(71.6-76.8]\'','\'(169.6-172.9]\'','\'(24.7-26.6]\'',4
'\'(19.6-22.4]\'','\'(8.4-9.6]\'','\'(5.6-inf)\'','\'(-inf-1.3]\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',8
'\'(11.2-14]\'','\'(8.4-9.6]\'','\'(-inf-2.4]\'','\'(3.7-inf)\'','\'(280-307]\'','\'(28.5-33.2]\'','\'(9.4-12.2]\'','\'(39.4-42.5]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(0.8-1.6]\'','\'(71.6-76.8]\'','\'(169.6-172.9]\'','\'(24.7-26.6]\'',32
'\'(-inf-2.8]\'','\'(8.4-9.6]\'','\'(-inf-2.4]\'','\'(3.7-inf)\'','\'(253-280]\'','\'(47.3-inf)\'','\'(9.4-12.2]\'','\'(33.2-36.3]\'','241,476','\'(90.5-92.4]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(3.6-inf)\'','\'(0.9-inf)\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(61.2-66.4]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',0
'\'(-inf-2.8]\'','\'(8.4-9.6]\'','\'(-inf-2.4]\'','\'(3.7-inf)\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','241,476','\'(90.5-92.4]\'','\'(0.9-inf)\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',0
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(3.7-inf)\'','\'(199-226]\'','\'(23.8-28.5]\'','\'(6.6-9.4]\'','\'(-inf-30.1]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(0.8-1.2]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(1.6-2.4]\'','\'(66.4-71.6]\'','\'(166.3-169.6]\'','\'(22.8-24.7]\'',2
'\'(22.4-25.2]\'','\'(8.4-9.6]\'','\'(2.8-3.2]\'','\'(3.7-inf)\'','\'(-inf-145]\'','\'(9.7-14.4]\'','\'(9.4-12.2]\'','\'(36.3-39.4]\'','241,476','\'(90.5-92.4]\'','\'(-inf-0.1]\'','\'(-inf-1.3]\'','\'(-inf-0.4]\'','\'(-inf-0.1]\'','\'(-inf-0.1]\'','\'(-inf-0.8]\'','\'(82-87.2]\'','\'(169.6-172.9]\'','\'(26.6-28.5]\'',2
