date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,finishing,Thursday,'\'(10.9-inf)\'','\'(0.654-0.727]\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.436326
1/3/2015,Quarter1,'finishing ',Saturday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(19.4-28.1]\'',0.988025
1/3/2015,Quarter1,'finishing ',Saturday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.98788
1/3/2015,Quarter1,'finishing ',Saturday,'\'(8.7-9.8]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.956271
1/3/2015,Quarter1,'finishing ',Saturday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.945278
1/3/2015,Quarter1,'finishing ',Saturday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.902917
1/3/2015,Quarter1,sweing,Saturday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800725
1/3/2015,Quarter1,sweing,Saturday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800323
1/3/2015,Quarter1,sweing,Saturday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800319
1/3/2015,Quarter1,sweing,Saturday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800319
1/3/2015,Quarter1,sweing,Saturday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.800237
1/3/2015,Quarter1,sweing,Saturday,'\'(4.3-5.4]\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.800149
1/3/2015,Quarter1,sweing,Saturday,'\'(5.4-6.5]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800125
1/3/2015,Quarter1,sweing,Saturday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800125
1/3/2015,Quarter1,sweing,Saturday,'\'(9.8-10.9]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(45.5-54.2]\'',0.7873
1/3/2015,Quarter1,'finishing ',Saturday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.782448
1/3/2015,Quarter1,sweing,Saturday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.750243
1/3/2015,Quarter1,'finishing ',Saturday,'\'(9.8-10.9]\'','\'(0.654-0.727]\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.701812
1/3/2015,Quarter1,sweing,Saturday,'\'(3.2-4.3]\'','\'(0.654-0.727]\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(12960-15552]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.700134
1/3/2015,Quarter1,sweing,Saturday,'\'(8.7-9.8]\'','\'(0.654-0.727]\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.699965
1/3/2015,Quarter1,'finishing ',Saturday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.628333
1/3/2015,Quarter1,'finishing ',Saturday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.625313
1/4/2015,Quarter1,'finishing ',Sunday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.991389
1/4/2015,Quarter1,'finishing ',Sunday,'\'(8.7-9.8]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.931646
1/4/2015,Quarter1,'finishing ',Sunday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.915229
1/4/2015,Quarter1,sweing,Sunday,'\'(5.4-6.5]\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.879714
1/4/2015,Quarter1,'finishing ',Sunday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(19.4-28.1]\'',0.861679
1/4/2015,Quarter1,sweing,Sunday,'\'(8.7-9.8]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.850569
1/4/2015,Quarter1,sweing,Sunday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.850436
1/4/2015,Quarter1,sweing,Sunday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.850345
1/4/2015,Quarter1,sweing,Sunday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800598
1/4/2015,Quarter1,sweing,Sunday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800319
1/4/2015,Quarter1,sweing,Sunday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800238
1/4/2015,Quarter1,sweing,Sunday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.80003
1/4/2015,Quarter1,'finishing ',Sunday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.792104
1/4/2015,Quarter1,'finishing ',Sunday,'\'(9.8-10.9]\'','\'(0.654-0.727]\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.759228
1/4/2015,Quarter1,sweing,Sunday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(45.5-54.2]\'',0.750348
1/4/2015,Quarter1,sweing,Sunday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.750243
1/4/2015,Quarter1,sweing,Sunday,'\'(9.8-10.9]\'','\'(0.654-0.727]\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.699965
1/4/2015,Quarter1,'finishing ',Sunday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.682708
1/4/2015,Quarter1,'finishing ',Sunday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.667604
1/4/2015,Quarter1,sweing,Sunday,'\'(4.3-5.4]\'','\'(0.654-0.727]\'','\'(44.228-49.394]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.603432
1/4/2015,Quarter1,'finishing ',Sunday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.345833
1/5/2015,Quarter1,'finishing ',Monday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.961059
1/5/2015,Quarter1,'finishing ',Monday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.939514
1/5/2015,Quarter1,'finishing ',Monday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.893663
1/5/2015,Quarter1,'finishing ',Monday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.875391
1/5/2015,Quarter1,sweing,Monday,'\'(8.7-9.8]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.850569
1/5/2015,Quarter1,'finishing ',Monday,'\'(8.7-9.8]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.820833
1/5/2015,Quarter1,'finishing ',Monday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.804417
1/5/2015,Quarter1,sweing,Monday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800684
1/5/2015,Quarter1,sweing,Monday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800684
1/5/2015,Quarter1,sweing,Monday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800319
1/5/2015,Quarter1,sweing,Monday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800251
1/5/2015,Quarter1,sweing,Monday,'\'(5.4-6.5]\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.800246
1/5/2015,Quarter1,sweing,Monday,'\'(10.9-inf)\'','\'(0.727-inf)\'','\'(8.066-13.232]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(28.1-36.8]\'',0.800246
1/5/2015,Quarter1,sweing,Monday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800077
1/5/2015,Quarter1,sweing,Monday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.800077
1/5/2015,Quarter1,'finishing ',Monday,'\'(9.8-10.9]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.763375
1/5/2015,Quarter1,'finishing ',Monday,'\'(4.3-5.4]\'','\'(0.581-0.654]\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.759271
1/5/2015,Quarter1,sweing,Monday,'\'(9.8-10.9]\'','\'(0.727-inf)\'','\'(23.564-28.73]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.7504
1/5/2015,Quarter1,sweing,Monday,'\'(2.1-3.2]\'','\'(0.727-inf)\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.750243
1/5/2015,Quarter1,'finishing ',Monday,'\'(6.5-7.6]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.676667
1/5/2015,Quarter1,'finishing ',Monday,'\'(7.6-8.7]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.664583
1/5/2015,Quarter1,sweing,Monday,'\'(4.3-5.4]\'','\'(0.581-0.654]\'','\'(18.398-23.564]\'','\'(-inf-2318.5]\'','\'(5184-7776]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(54.2-62.9]\'',0.600029
1/6/2015,Quarter1,'finishing ',Tuesday,'\'(3.2-4.3]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(2592-5184]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(10.7-19.4]\'',0.966781
1/6/2015,Quarter1,'finishing ',Tuesday,'\'(-inf-2.1]\'','\'(0.727-inf)\'','\'(-inf-8.066]\'','\'(-inf-2318.5]\'','\'(-inf-2592]\'','\'(-inf-360]\'','\'(-inf-30]\'','\'(-inf-4.5]\'','\'(-inf-0.2]\'','\'(-inf-10.7]\'',0.936496
