1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
'\'(1.5-2]\'','\'(179.6-198.7]\'',bmw,gas,std,two,sedan,rwd,front,'\'(100.32-103.75]\'','\'(174.6-181.3]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(3.38-3.52]\'','\'(2.7-2.91]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5620-5865]\'','\'(20.2-23.8]\'','\'(27.4-31.2]\'',16430
'\'(-0.5-0]\'','\'(179.6-198.7]\'',bmw,gas,std,four,sedan,rwd,front,'\'(100.32-103.75]\'','\'(174.6-181.3]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(3.38-3.52]\'','\'(2.7-2.91]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5620-5865]\'','\'(20.2-23.8]\'','\'(27.4-31.2]\'',16925
'\'(-0.5-0]\'','\'(179.6-198.7]\'',bmw,gas,std,two,sedan,rwd,front,'\'(100.32-103.75]\'','\'(174.6-181.3]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(2519.2-2777]\'',ohc,six,'\'(140.5-167]\'',mpfi,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(120-144]\'','\'(-inf-4395]\'','\'(20.2-23.8]\'','\'(27.4-31.2]\'',20970
'\'(-0.5-0]\'','\'(179.6-198.7]\'',bmw,gas,std,four,sedan,rwd,front,'\'(100.32-103.75]\'','\'(174.6-181.3]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(2519.2-2777]\'',ohc,six,'\'(140.5-167]\'',mpfi,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(120-144]\'','\'(-inf-4395]\'','\'(20.2-23.8]\'','\'(27.4-31.2]\'',21105
'\'(0.5-1]\'','\'(103.2-122.3]\'',bmw,gas,std,four,sedan,rwd,front,'\'(100.32-103.75]\'','\'(188-194.7]\'','\'(66.3-67.5]\'','\'(55-56.2]\'','\'(3034.8-3292.6]\'',ohc,six,'\'(140.5-167]\'',mpfi,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(120-144]\'','\'(-inf-4395]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',24565
'\'(-0.5-0]\'','\'(103.2-122.3]\'',bmw,gas,std,four,sedan,rwd,front,'\'(100.32-103.75]\'','\'(188-194.7]\'','\'(66.3-67.5]\'','\'(55-56.2]\'','\'(3034.8-3292.6]\'',ohc,six,'\'(193.5-220]\'',mpfi,'\'(3.52-3.66]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(168-192]\'','\'(5375-5620]\'','\'(-inf-16.6]\'','\'(19.8-23.6]\'',30760
'\'(-0.5-0]\'','\'(103.2-122.3]\'',bmw,gas,std,two,sedan,rwd,front,'\'(100.32-103.75]\'','\'(188-194.7]\'','\'(67.5-68.7]\'','\'(52.6-53.8]\'','\'(3292.6-3550.4]\'',ohc,six,'\'(193.5-220]\'',mpfi,'\'(3.52-3.66]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(168-192]\'','\'(5375-5620]\'','\'(-inf-16.6]\'','\'(19.8-23.6]\'',41315
'\'(-0.5-0]\'','\'(103.2-122.3]\'',bmw,gas,std,four,sedan,rwd,front,'\'(107.18-110.61]\'','\'(194.7-201.4]\'','\'(69.9-71.1]\'','\'(56.2-57.4]\'','\'(3292.6-3550.4]\'',ohc,six,'\'(193.5-220]\'',mpfi,'\'(3.52-3.66]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(168-192]\'','\'(5375-5620]\'','\'(-inf-16.6]\'','\'(19.8-23.6]\'',36880
'\'(1.5-2]\'','\'(103.2-122.3]\'',chevrolet,gas,std,two,hatchback,fwd,front,'\'(-inf-90.03]\'','\'(-inf-147.8]\'','\'(-inf-61.5]\'','\'(52.6-53.8]\'','\'(-inf-1745.8]\'',l,three,'\'(-inf-87.5]\'',2bbl,'\'(2.82-2.96]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(45.4-inf)\'','\'(50.2-inf)\'',5151
'\'(0.5-1]\'','\'(84.1-103.2]\'',chevrolet,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(51.4-52.6]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(42.6-46.4]\'',6295
'\'(-0.5-0]\'','\'(-inf-84.1]\'',chevrolet,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(51.4-52.6]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(42.6-46.4]\'',6575
'\'(0.5-1]\'','\'(103.2-122.3]\'',dodge,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(38.8-42.6]\'',5572
'\'(0.5-1]\'','\'(103.2-122.3]\'',dodge,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(27.4-31]\'','\'(35-38.8]\'',6377
'\'(0.5-1]\'','\'(103.2-122.3]\'',dodge,gas,turbo,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(2003.6-2261.4]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(2.96-3.1]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',7957
'\'(0.5-1]\'','\'(141.4-160.5]\'',dodge,gas,std,four,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(27.4-31]\'','\'(35-38.8]\'',6229
'\'(0.5-1]\'','\'(141.4-160.5]\'',dodge,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(27.4-31]\'','\'(35-38.8]\'',6692
'\'(0.5-1]\'','\'(141.4-160.5]\'',dodge,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(27.4-31]\'','\'(35-38.8]\'',7609
'\'(0.5-1]\'','\'(141.4-160.5]\'',dodge,gas,turbo,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(2003.6-2261.4]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(2.96-3.1]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(96-120]\'','\'(5375-5620]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',8558
'\'(-1.5--1]\'','\'(103.2-122.3]\'',dodge,gas,std,four,wagon,fwd,front,'\'(100.32-103.75]\'','\'(167.9-174.6]\'','\'(63.9-65.1]\'','\'(58.6-inf)\'','\'(2519.2-2777]\'',ohc,four,'\'(114-140.5]\'',2bbl,'\'(3.24-3.38]\'','\'(3.33-3.54]\'','\'(-inf-8.6]\'','\'(72-96]\'','\'(4885-5130]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',8921
'\'(2.5-inf)\'','\'(141.4-160.5]\'',dodge,gas,turbo,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(50.2-51.4]\'','\'(2777-3034.8]\'',ohc,four,'\'(140.5-167]\'',mfi,'\'(3.52-3.66]\'','\'(3.75-3.96]\'','\'(-inf-8.6]\'','\'(144-168]\'','\'(4885-5130]\'','\'(16.6-20.2]\'','\'(23.6-27.4]\'',12964
'\'(1.5-2]\'','\'(122.3-141.4]\'',honda,gas,std,two,hatchback,fwd,front,'\'(-inf-90.03]\'','\'(-inf-147.8]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(-inf-1745.8]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4640-4885]\'','\'(45.4-inf)\'','\'(50.2-inf)\'',6479
'\'(1.5-2]\'','\'(122.3-141.4]\'',honda,gas,std,two,hatchback,fwd,front,'\'(-inf-90.03]\'','\'(-inf-147.8]\'','\'(62.7-63.9]\'','\'(50.2-51.4]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5865-6110]\'','\'(27.4-31]\'','\'(35-38.8]\'',6855
'\'(0.5-1]\'','\'(84.1-103.2]\'',honda,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(147.8-154.5]\'','\'(63.9-65.1]\'','\'(52.6-53.8]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(-inf-87.5]\'',1bbl,'\'(2.82-2.96]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(38.8-42.6]\'',5399
'\'(0.5-1]\'','\'(84.1-103.2]\'',honda,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(147.8-154.5]\'','\'(63.9-65.1]\'','\'(52.6-53.8]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5865-6110]\'','\'(27.4-31]\'','\'(31.2-35]\'',6529
'\'(0.5-1]\'','\'(84.1-103.2]\'',honda,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(147.8-154.5]\'','\'(63.9-65.1]\'','\'(52.6-53.8]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5865-6110]\'','\'(27.4-31]\'','\'(31.2-35]\'',7129
'\'(-0.5-0]\'','\'(103.2-122.3]\'',honda,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(161.2-167.9]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(2003.6-2261.4]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5865-6110]\'','\'(27.4-31]\'','\'(31.2-35]\'',7295
'\'(-0.5-0]\'','\'(-inf-84.1]\'',honda,gas,std,four,wagon,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(57.4-58.6]\'','\'(2003.6-2261.4]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(2.82-2.96]\'','\'(3.33-3.54]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5865-6110]\'','\'(27.4-31]\'','\'(31.2-35]\'',7295
'\'(-0.5-0]\'','\'(103.2-122.3]\'',honda,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(161.2-167.9]\'','\'(65.1-66.3]\'','\'(52.6-53.8]\'','\'(2003.6-2261.4]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5620-5865]\'','\'(23.8-27.4]\'','\'(31.2-35]\'',7895
'\'(-0.5-0]\'','\'(103.2-122.3]\'',honda,gas,std,two,hatchback,fwd,front,'\'(93.46-96.89]\'','\'(161.2-167.9]\'','\'(65.1-66.3]\'','\'(52.6-53.8]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5620-5865]\'','\'(23.8-27.4]\'','\'(31.2-35]\'',9095
'\'(-0.5-0]\'','\'(84.1-103.2]\'',honda,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(174.6-181.3]\'','\'(65.1-66.3]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5620-5865]\'','\'(23.8-27.4]\'','\'(31.2-35]\'',8845
'\'(-0.5-0]\'','\'(84.1-103.2]\'',honda,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(174.6-181.3]\'','\'(61.5-62.7]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',1bbl,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(5620-5865]\'','\'(23.8-27.4]\'','\'(31.2-35]\'',10295
'\'(-0.5-0]\'','\'(84.1-103.2]\'',honda,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(174.6-181.3]\'','\'(65.1-66.3]\'','\'(53.8-55]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',mpfi,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5620-5865]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',12945
'\'(0.5-1]\'','\'(103.2-122.3]\'',honda,gas,std,two,sedan,fwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(50.2-51.4]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(3.1-3.24]\'','\'(3.54-3.75]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5375-5620]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',10345
'\'(-0.5-0]\'','\'(103.2-122.3]\'',isuzu,gas,std,four,sedan,rwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(61.5-62.7]\'','\'(52.6-53.8]\'','\'(2261.4-2519.2]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(-inf-8.6]\'','\'(72-96]\'','\'(4640-4885]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',6785
'\'(0.5-1]\'','\'(103.2-122.3]\'',isuzu,gas,std,two,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(51.4-52.6]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(42.6-46.4]\'',?
'\'(-0.5-0]\'','\'(103.2-122.3]\'',isuzu,gas,std,four,sedan,fwd,front,'\'(93.46-96.89]\'','\'(154.5-161.2]\'','\'(62.7-63.9]\'','\'(51.4-52.6]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(2.91-3.12]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(5375-5620]\'','\'(34.6-38.2]\'','\'(42.6-46.4]\'',?
'\'(1.5-2]\'','\'(103.2-122.3]\'',isuzu,gas,std,two,hatchback,rwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(50.2-51.4]\'','\'(2519.2-2777]\'',ohc,four,'\'(114-140.5]\'',spfi,'\'(3.38-3.52]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(72-96]\'','\'(4885-5130]\'','\'(23.8-27.4]\'','\'(27.4-31.2]\'',11048
'\'(-0.5-0]\'','\'(141.4-160.5]\'',jaguar,gas,std,four,sedan,rwd,front,'\'(110.61-114.04]\'','\'(194.7-201.4]\'','\'(68.7-69.9]\'','\'(52.6-53.8]\'','\'(3808.2-inf)\'',dohc,six,'\'(246.5-273]\'',mpfi,'\'(3.52-3.66]\'','\'(3.96-inf)\'','\'(-inf-8.6]\'','\'(168-192]\'','\'(4640-4885]\'','\'(-inf-16.6]\'','\'(-inf-19.8]\'',32250
'\'(-0.5-0]\'','\'(103.2-122.3]\'',jaguar,gas,std,four,sedan,rwd,front,'\'(110.61-114.04]\'','\'(194.7-201.4]\'','\'(68.7-69.9]\'','\'(52.6-53.8]\'','\'(3808.2-inf)\'',dohc,six,'\'(246.5-273]\'',mpfi,'\'(3.52-3.66]\'','\'(3.96-inf)\'','\'(-inf-8.6]\'','\'(168-192]\'','\'(4640-4885]\'','\'(-inf-16.6]\'','\'(-inf-19.8]\'',35550
'\'(-0.5-0]\'','\'(103.2-122.3]\'',jaguar,gas,std,two,sedan,rwd,front,'\'(100.32-103.75]\'','\'(188-194.7]\'','\'(69.9-71.1]\'','\'(-inf-49]\'','\'(3808.2-inf)\'',ohcv,twelve,'\'(299.5-inf)\'',mpfi,'\'(3.52-3.66]\'','\'(2.7-2.91]\'','\'(10.2-11.8]\'','\'(240-264]\'','\'(4885-5130]\'','\'(-inf-16.6]\'','\'(-inf-19.8]\'',36000
'\'(0.5-1]\'','\'(103.2-122.3]\'',mazda,gas,std,two,hatchback,fwd,front,'\'(90.03-93.46]\'','\'(154.5-161.2]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(27.4-31]\'','\'(27.4-31.2]\'',5195
'\'(0.5-1]\'','\'(103.2-122.3]\'',mazda,gas,std,two,hatchback,fwd,front,'\'(90.03-93.46]\'','\'(154.5-161.2]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(27.4-31]\'','\'(35-38.8]\'',6095
'\'(0.5-1]\'','\'(103.2-122.3]\'',mazda,gas,std,two,hatchback,fwd,front,'\'(90.03-93.46]\'','\'(154.5-161.2]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(27.4-31]\'','\'(35-38.8]\'',6795
'\'(0.5-1]\'','\'(103.2-122.3]\'',mazda,gas,std,four,sedan,fwd,front,'\'(90.03-93.46]\'','\'(161.2-167.9]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(27.4-31]\'','\'(35-38.8]\'',6695
'\'(0.5-1]\'','\'(103.2-122.3]\'',mazda,gas,std,four,sedan,fwd,front,'\'(90.03-93.46]\'','\'(161.2-167.9]\'','\'(63.9-65.1]\'','\'(53.8-55]\'','\'(1745.8-2003.6]\'',ohc,four,'\'(87.5-114]\'',2bbl,'\'(2.96-3.1]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(-inf-72]\'','\'(4885-5130]\'','\'(27.4-31]\'','\'(35-38.8]\'',7395
'\'(2.5-inf)\'','\'(141.4-160.5]\'',mazda,gas,std,two,hatchback,rwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(49-50.2]\'','\'(2261.4-2519.2]\'',rotor,two,'\'(-inf-87.5]\'',4bbl,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5865-6110]\'','\'(16.6-20.2]\'','\'(19.8-23.6]\'',10945
'\'(2.5-inf)\'','\'(141.4-160.5]\'',mazda,gas,std,two,hatchback,rwd,front,'\'(93.46-96.89]\'','\'(167.9-174.6]\'','\'(65.1-66.3]\'','\'(49-50.2]\'','\'(2261.4-2519.2]\'',rotor,two,'\'(-inf-87.5]\'',4bbl,'\'(3.24-3.38]\'','\'(3.12-3.33]\'','\'(8.6-10.2]\'','\'(96-120]\'','\'(5865-6110]\'','\'(16.6-20.2]\'','\'(19.8-23.6]\'',11845
